"",4月15日(水),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",479,46,0.653,444,93%,28,6%,7,1%
"千葉県",525,35,0.839,475,90%,45,9%,5,1%
"東京都",2457,127,1.778,2379,97%,59,2%,19,1%
"神奈川県",614,24,0.669,544,89%,55,9%,15,2%
"大阪府",969,74,1.100,806,83%,155,16%,8,1%
"兵庫県",423,20,0.771,347,82%,61,14%,15,4%
"福岡県",433,30,0.848,382,88%,45,10%,6,1%
"",,,,,,,,,
"北海道",302,23,0.571,128,42%,161,53%,13,4%
"青森県",22,0,0.174,17,77%,5,23%,0,0%
"岩手県",0,0,0.000,0,ー,0,ー,0,ー
"宮城県",65,1,0.281,59,91%,6,9%,0,0%
"秋田県",16,0,0.163,11,69%,5,31%,0,0%
"山形県",45,6,0.413,45,100%,0,0%,0,0%
"福島県",40,1,0.215,37,93%,3,8%,0,0%
"茨城県",119,3,0.414,104,87%,10,8%,5,4%
"栃木県",39,1,0.200,32,82%,7,18%,0,0%
"群馬県",107,10,0.548,98,92%,5,5%,4,4%
"新潟県",46,1,0.205,21,46%,25,54%,0,0%
"富山県",54,0,0.514,53,98%,1,2%,0,0%
"石川県",140,9,1.225,131,94%,5,4%,4,3%
"福井県",100,8,1.292,90,90%,8,8%,2,2%
"山梨県",39,3,0.477,37,95%,2,5%,0,0%
"長野県",36,1,0.175,32,89%,4,11%,0,0%
"岐阜県",128,1,0.641,115,90%,12,9%,1,1%
"静岡県",47,1,0.128,44,94%,3,6%,0,0%
"愛知県",350,12,0.464,260,74%,66,19%,24,7%
"三重県",20,1,0.112,9,45%,11,55%,0,0%
"滋賀県",52,1,0.368,47,90%,5,10%,0,0%
"京都府",215,5,0.830,175,81%,37,17%,3,1%
"奈良県",53,6,0.396,43,81%,9,17%,1,2%
"和歌山県",37,2,0.396,17,46%,19,51%,1,3%
"鳥取県",1,0,0.018,1,100%,0,0%,0,0%
"島根県",13,3,0.191,13,100%,0,0%,0,0%
"岡山県",16,0,0.084,15,94%,1,6%,0,0%
"広島県",67,1,0.238,64,96%,3,4%,0,0%
"山口県",28,3,0.204,23,82%,5,18%,0,0%
"徳島県",3,0,0.041,0,0%,3,100%,0,0%
"香川県",20,0,0.208,19,95%,1,5%,0,0%
"愛媛県",40,1,0.296,34,85%,4,10%,2,5%
"高知県",62,2,0.878,46,74%,16,26%,0,0%
"佐賀県",17,2,0.208,16,94%,1,6%,0,0%
"長崎県",15,1,0.112,13,87%,2,13%,0,0%
"熊本県",31,2,0.176,25,81%,5,16%,1,3%
"大分県",50,7,0.437,37,74%,13,26%,0,0%
"宮崎県",17,0,0.157,13,76%,4,24%,0,0%
"鹿児島県",4,0,0.025,4,100%,0,0%,0,0%
"沖縄県",86,10,0.594,83,97%,3,3%,0,0%
"",,,,,,,,,
"総計",8442,484,0.668,7388,88%,918,11%,136,2%
