"",4月23日(木),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",753,39,1.020,705,94%,34,5%,14,2%
"千葉県",749,24,1.200,651,87%,82,11%,16,2%
"東京都",3586,134,2.580,3508,98%,59,2%,19,1%
"神奈川県",880,39,0.960,742,84%,114,13%,24,3%
"大阪府",1417,35,1.610,1143,81%,255,18%,19,1%
"兵庫県",581,18,1.060,497,86%,67,12%,17,3%
"福岡県",572,12,1.120,467,82%,92,16%,13,2%
"",,,,,,,,,
"北海道",540,45,1.030,320,59%,195,36%,25,5%
"茨城県",153,2,0.530,126,82%,21,14%,6,4%
"石川県",216,17,1.900,194,90%,17,8%,5,2%
"岐阜県",146,2,0.730,117,80%,24,16%,5,3%
"愛知県",453,12,0.600,357,79%,67,15%,29,6%
"京都府",282,7,1.090,182,65%,93,33%,7,2%
"",,,,,,,,,
"青森県",22,0,0.180,8,36%,14,64%,0,0%
"岩手県",0,0,0.000,0,-,0,-,0,-
"宮城県",84,0,0.360,61,73%,23,27%,0,0%
"秋田県",16,0,0.170,9,56%,7,44%,0,0%
"山形県",65,0,0.600,48,74%,17,26%,0,0%
"福島県",65,0,0.350,48,74%,17,26%,0,0%
"栃木県",53,1,0.270,45,85%,8,15%,0,0%
"群馬県",138,7,0.710,115,83%,14,10%,9,7%
"新潟県",62,1,0.280,29,47%,33,53%,0,0%
"富山県",150,9,1.440,139,93%,8,5%,3,2%
"福井県",119,0,1.550,88,74%,26,22%,5,4%
"山梨県",51,0,0.630,29,57%,22,43%,0,0%
"長野県",59,3,0.290,51,86%,8,14%,0,0%
"静岡県",58,1,0.160,45,78%,13,22%,0,0%
"三重県",43,0,0.240,31,72%,11,26%,1,2%
"滋賀県",92,4,0.650,78,85%,13,14%,1,1%
"奈良県",76,1,0.570,61,80%,14,18%,1,1%
"和歌山県",50,1,0.540,26,52%,23,46%,1,2%
"鳥取県",3,0,0.050,3,100%,0,0%,0,0%
"島根県",16,0,0.240,14,88%,2,13%,0,0%
"岡山県",19,0,0.100,14,74%,5,26%,0,0%
"広島県",142,1,0.510,127,89%,14,10%,1,1%
"山口県",31,0,0.230,16,52%,15,48%,0,0%
"徳島県",5,0,0.070,2,40%,3,60%,0,0%
"香川県",28,0,0.290,24,86%,4,14%,0,0%
"愛媛県",47,0,0.350,28,60%,16,34%,3,6%
"高知県",71,1,1.020,41,58%,28,39%,2,3%
"佐賀県",21,1,0.260,19,90%,2,10%,0,0%
"長崎県",16,0,0.120,10,63%,5,31%,1,6%
"熊本県",43,1,0.250,34,79%,8,19%,1,2%
"大分県",60,0,0.530,33,55%,26,43%,1,2%
"宮崎県",17,0,0.160,10,59%,7,41%,0,0%
"鹿児島県",10,0,0.060,8,80%,2,20%,0,0%
"沖縄県",132,2,0.910,118,89%,11,8%,3,2%
"その他",48,14,ー,48,100%,0,0%,0,0%
"",,,,,,,,,
"総計",12240,434,0.970,10469,86%,1539,13%,232,2%
