"",4月13日(月),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",414,28,0.565,383,93%,26,6%,5,1%
"千葉県",474,19,0.758,431,91%,39,8%,4,1%
"東京都",2171,91,1.571,2095,96%,57,3%,19,1%
"神奈川県",572,15,0.623,505,88%,55,10%,12,2%
"大阪府",836,24,0.949,683,82%,147,18%,6,1%
"兵庫県",384,9,0.700,311,81%,59,16%,14,4%
"福岡県",373,11,0.730,366,98%,7,2%,0,0%
"",,,,,,,,,
"北海道",272,5,0.515,100,37%,161,59%,11,4%
"青森県",22,0,0.174,18,82%,4,18%,0,0%
"岩手県",0,0,0.000,0,ー,0,ー,0,ー
"宮城県",54,3,0.233,49,91%,5,9%,0,0%
"秋田県",15,0,0.153,10,67%,5,33%,0,0%
"山形県",35,1,0.321,35,100%,0,0%,0,0%
"福島県",38,0,0.204,35,92%,3,8%,0,0%
"茨城県",110,1,0.382,97,88%,10,9%,3,3%
"栃木県",36,1,0.185,29,81%,7,19%,0,0%
"群馬県",91,1,0.466,84,92%,5,5%,2,2%
"新潟県",42,0,0.187,17,40%,25,60%,0,0%
"富山県",49,19,0.467,48,98%,1,2%,0,0%
"石川県",121,8,1.059,116,96%,5,4%,0,0%
"福井県",92,4,1.189,83,90%,7,8%,2,2%
"山梨県",35,1,0.428,33,94%,2,6%,0,0%
"長野県",34,5,0.165,30,88%,4,12%,0,0%
"岐阜県",112,7,0.561,106,95%,5,4%,1,1%
"静岡県",46,5,0.126,43,93%,3,7%,0,0%
"愛知県",328,9,0.435,242,74%,63,19%,23,7%
"三重県",17,0,0.095,6,35%,11,65%,0,0%
"滋賀県",40,2,0.283,35,88%,5,13%,0,0%
"京都府",205,12,0.791,169,82%,33,17%,3,1%
"奈良県",44,3,0.329,36,82%,8,18%,0,0%
"和歌山県",34,0,0.364,16,47%,17,50%,1,3%
"鳥取県",1,0,0.018,1,100%,0,0%,0,0%
"島根県",8,1,0.118,8,100%,0,0%,0,0%
"岡山県",16,0,0.084,15,94%,1,6%,0,0%
"広島県",57,1,0.202,54,95%,3,5%,0,0%
"山口県",24,1,0.175,19,79%,5,21%,0,0%
"徳島県",3,0,0.041,0,0%,3,100%,0,0%
"香川県",16,8,0.166,15,94%,1,6%,0,0%
"愛媛県",37,7,0.274,31,84%,4,11%,2,5%
"高知県",60,0,0.850,44,73%,16,27%,0,0%
"佐賀県",13,0,0.159,12,92%,1,8%,0,0%
"長崎県",14,0,0.104,12,86%,2,14%,0,0%
"熊本県",28,1,0.159,22,79%,5,18%,1,4%
"大分県",43,1,0.376,33,77%,10,23%,0,0%
"宮崎県",17,0,0.157,14,82%,3,18%,0,0%
"鹿児島県",4,0,0.025,4,100%,0,0%,0,0%
"沖縄県",72,7,0.497,69,96%,3,4%,0,0%
"",,,,,,,,,
"総計",7509,311,0.594,6564,87%,836,11%,109,1%
