"",4月5日(日),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",1040,143,0.752,978,94%,50,5%,12,1%
"大阪府",409,21,0.464,324,79%,82,20%,3,1%
"千葉県",238,19,0.380,205,86%,32,13%,1,0%
"愛知県",227,11,0.301,159,70%,48,21%,20,9%
"神奈川県",226,29,0.246,188,83%,32,14%,6,3%
"兵庫県",195,13,0.356,132,68%,52,27%,11,6%
"北海道",194,1,0.367,56,29%,130,67%,8,4%
"埼玉県",174,21,0.237,147,84%,23,13%,4,2%
"京都府",111,6,0.428,93,84%,18,16%,0,0%
"福岡県",109,42,0.213,103,94%,6,6%,0,0%
"茨城県",64,5,0.222,61,95%,1,2%,2,3%
"福井県",51,7,0.659,49,96%,0,0%,2,4%
"岐阜県",50,7,0.250,47,94%,2,4%,1,2%
"石川県",43,11,0.376,38,88%,5,12%,0,0%
"新潟県",32,0,0.142,21,66%,11,34%,0,0%
"高知県",31,7,0.439,19,61%,12,39%,0,0%
"大分県",31,0,0.271,25,81%,6,19%,0,0%
"群馬県",26,1,0.133,24,92%,1,4%,1,4%
"和歌山県",25,4,0.267,9,36%,15,60%,1,4%
"奈良県",25,1,0.187,17,68%,8,32%,0,0%
"宮城県",23,3,0.099,22,96%,1,4%,0,0%
"熊本県",20,4,0.114,17,85%,3,15%,0,0%
"滋賀県",18,1,0.127,15,83%,3,17%,0,0%
"広島県",16,3,0.057,15,94%,1,6%,0,0%
"福島県",16,2,0.086,15,94%,1,6%,0,0%
"栃木県",14,0,0.072,11,79%,3,21%,0,0%
"山梨県",13,2,0.159,11,85%,2,15%,0,0%
"三重県",13,1,0.073,9,69%,4,31%,0,0%
"長野県",12,1,0.058,8,67%,4,33%,0,0%
"愛媛県",12,0,0.089,8,67%,3,25%,1,8%
"秋田県",11,1,0.112,9,82%,2,18%,0,0%
"岡山県",11,1,0.058,11,100%,0,0%,0,0%
"青森県",11,0,0.087,11,100%,0,0%,0,0%
"山形県",10,4,0.092,10,100%,0,0%,0,0%
"静岡県",10,0,0.027,7,70%,3,30%,0,0%
"富山県",10,0,0.095,10,100%,0,0%,0,0%
"長崎県",9,1,0.067,7,78%,2,22%,0,0%
"沖縄県",9,0,0.062,7,78%,2,22%,0,0%
"佐賀県",8,2,0.098,7,88%,1,13%,0,0%
"山口県",8,1,0.058,5,63%,3,38%,0,0%
"宮崎県",6,2,0.056,4,67%,2,33%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"香川県",2,0,0.021,2,100%,0,0%,0,0%
"総計",3569,378,0.282,2921,82%,575,16%,73,2%
