"",4月20日(月),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",662,20,0.900,621,94%,32,5%,9,1%
"千葉県",683,22,1.090,598,88%,77,11%,8,1%
"東京都",3197,102,2.300,3119,98%,59,2%,19,1%
"神奈川県",802,18,0.870,695,87%,88,11%,19,2%
"大阪府",1297,85,1.470,1051,81%,233,18%,13,1%
"兵庫県",524,11,0.960,442,84%,65,12%,17,3%
"福岡県",524,8,1.030,424,81%,87,17%,13,2%
"",,,,,,,,,
"北海道",451,17,0.860,262,58%,171,38%,18,4%
"茨城県",143,4,0.500,121,85%,16,11%,6,4%
"石川県",180,2,1.580,162,90%,14,8%,4,2%
"岐阜県",139,0,0.700,112,81%,24,17%,3,2%
"愛知県",406,5,0.540,313,77%,66,16%,27,7%
"京都府",259,8,1.000,177,68%,77,30%,5,2%
"",,,,,,,,,
"青森県",22,0,0.180,13,59%,9,41%,0,0%
"岩手県",0,0,0.000,0,ー,0,ー,0,ー
"宮城県",84,1,0.360,76,90%,8,10%,0,0%
"秋田県",16,0,0.170,11,69%,5,31%,0,0%
"山形県",64,3,0.590,49,77%,15,23%,0,0%
"福島県",64,2,0.350,50,78%,14,22%,0,0%
"栃木県",49,3,0.250,41,84%,8,16%,0,0%
"群馬県",124,2,0.640,105,85%,14,11%,5,4%
"新潟県",56,0,0.250,27,48%,29,52%,0,0%
"富山県",114,22,1.090,104,91%,8,7%,2,2%
"福井県",113,1,1.470,83,73%,26,23%,4,4%
"山梨県",49,0,0.600,40,82%,9,18%,0,0%
"長野県",52,0,0.250,46,88%,6,12%,0,0%
"静岡県",52,0,0.140,44,85%,8,15%,0,0%
"三重県",39,3,0.220,27,69%,11,28%,1,3%
"滋賀県",72,1,0.510,58,81%,13,18%,1,1%
"奈良県",64,2,0.480,49,77%,14,22%,1,2%
"和歌山県",46,0,0.500,25,54%,20,43%,1,2%
"鳥取県",3,0,0.050,3,100%,0,0%,0,0%
"島根県",16,0,0.240,16,100%,0,0%,0,0%
"岡山県",19,0,0.100,15,79%,4,21%,0,0%
"広島県",137,5,0.490,125,91%,12,9%,0,0%
"山口県",30,0,0.220,15,50%,15,50%,0,0%
"徳島県",3,0,0.040,0,0%,3,100%,0,0%
"香川県",26,1,0.270,25,96%,1,4%,0,0%
"愛媛県",46,1,0.340,34,74%,9,20%,3,7%
"高知県",69,1,0.990,45,65%,22,32%,2,3%
"佐賀県",17,0,0.210,16,94%,1,6%,0,0%
"長崎県",17,0,0.130,13,76%,4,24%,0,0%
"熊本県",40,1,0.230,32,80%,7,18%,1,3%
"大分県",55,1,0.480,35,64%,19,35%,1,2%
"宮崎県",17,0,0.160,13,76%,4,24%,0,0%
"鹿児島県",10,2,0.060,9,90%,1,10%,0,0%
"沖縄県",121,6,0.830,107,88%,11,9%,3,2%
"",,,,,,,,,
"総計",10973,360,0.870,9448,86%,1339,12%,186,2%
