"",4月14日(火),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",433,19,0.591,399,92%,27,6%,7,2%
"千葉県",490,16,0.783,440,90%,45,9%,5,1%
"東京都",2332,161,1.687,2254,96%,59,3%,19,1%
"神奈川県",594,23,0.647,525,88%,55,9%,14,2%
"大阪府",895,59,1.016,736,82%,152,17%,7,1%
"兵庫県",403,19,0.735,327,81%,61,15%,15,4%
"福岡県",403,30,0.789,371,92%,32,8%,0,0%
"",,,,,,,,,
"北海道",279,7,0.528,106,38%,161,58%,12,4%
"青森県",22,0,0.174,17,77%,5,23%,0,0%
"岩手県",0,0,0.000,0,-,0,-,0,-
"宮城県",64,10,0.276,59,92%,5,8%,0,0%
"秋田県",16,1,0.163,11,69%,5,31%,0,0%
"山形県",39,4,0.358,39,100%,0,0%,0,0%
"福島県",39,1,0.209,36,92%,3,8%,0,0%
"茨城県",116,6,0.403,103,89%,10,9%,3,3%
"栃木県",38,2,0.195,31,82%,7,18%,0,0%
"群馬県",97,6,0.497,90,93%,5,5%,2,2%
"新潟県",45,3,0.200,20,44%,25,56%,0,0%
"富山県",54,5,0.514,53,98%,1,2%,0,0%
"石川県",131,10,1.146,125,95%,5,4%,1,1%
"福井県",92,0,1.189,82,89%,8,9%,2,2%
"山梨県",36,1,0.441,34,94%,2,6%,0,0%
"長野県",35,1,0.170,31,89%,4,11%,0,0%
"岐阜県",127,15,0.636,120,94%,6,5%,1,1%
"静岡県",46,0,0.126,43,93%,3,7%,0,0%
"愛知県",338,10,0.448,251,74%,63,19%,24,7%
"三重県",19,2,0.106,8,42%,11,58%,0,0%
"滋賀県",51,11,0.361,46,90%,5,10%,0,0%
"京都府",210,5,0.810,173,82%,34,17%,3,1%
"奈良県",47,3,0.351,39,83%,8,17%,0,0%
"和歌山県",35,1,0.374,17,49%,17,49%,1,3%
"鳥取県",1,0,0.018,1,100%,0,0%,0,0%
"島根県",10,2,0.147,10,100%,0,0%,0,0%
"岡山県",16,1,0.084,15,94%,1,6%,0,0%
"広島県",66,9,0.234,63,95%,3,5%,0,0%
"山口県",25,1,0.182,20,80%,5,20%,0,0%
"徳島県",3,0,0.041,0,0%,3,100%,0,0%
"香川県",20,4,0.208,19,95%,1,5%,0,0%
"愛媛県",39,2,0.288,33,85%,4,10%,2,5%
"高知県",60,0,0.850,44,73%,16,27%,0,0%
"佐賀県",15,2,0.183,14,93%,1,7%,0,0%
"長崎県",14,0,0.104,12,86%,2,14%,0,0%
"熊本県",29,1,0.165,23,79%,5,17%,1,3%
"大分県",43,0,0.376,30,70%,13,30%,0,0%
"宮崎県",17,0,0.157,14,82%,3,18%,0,0%
"鹿児島県",4,0,0.025,4,100%,0,0%,0,0%
"沖縄県",76,4,0.525,73,96%,3,4%,0,0%
"",,,,,,,,,
"総計",7964,457,0.630,6961,87%,884,11%,119,1%
