"",4月18日(土),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",610,35,0.830,569,93%,32,5%,9,1%
"千葉県",643,34,1.030,569,88%,67,10%,7,1%
"東京都",2988,181,2.150,2910,97%,59,2%,19,1%
"神奈川県",754,44,0.820,670,89%,68,9%,16,2%
"大阪府",1164,88,1.320,934,80%,220,19%,10,1%
"兵庫県",502,21,0.920,420,84%,65,13%,17,3%
"福岡県",500,24,0.980,424,85%,66,13%,10,2%
"",,,,,,,,,
"北海道",407,38,0.780,220,54%,171,42%,16,4%
"茨城県",135,4,0.470,116,86%,14,10%,5,4%
"石川県",173,13,1.520,164,95%,5,3%,4,2%
"岐阜県",137,1,0.690,119,87%,16,12%,2,1%
"愛知県",391,17,0.520,301,77%,66,17%,24,6%
"京都府",242,7,0.940,186,77%,53,22%,3,1%
"",,,,,,,,,
"青森県",22,0,0.180,16,73%,6,27%,0,0%
"岩手県",0,0,0.000,0,0,0,0,0,0
"宮城県",83,4,0.360,75,90%,8,10%,0,0%
"秋田県",16,0,0.170,11,69%,5,31%,0,0%
"山形県",60,2,0.560,50,83%,10,17%,0,0%
"福島県",60,8,0.330,57,95%,3,5%,0,0%
"栃木県",44,0,0.230,36,82%,8,18%,0,0%
"群馬県",120,6,0.620,111,93%,5,4%,4,3%
"新潟県",56,3,0.250,27,48%,29,52%,0,0%
"富山県",79,0,0.760,77,97%,2,3%,0,0%
"福井県",106,2,1.380,94,89%,8,8%,4,4%
"山梨県",48,2,0.590,39,81%,9,19%,0,0%
"長野県",47,0,0.230,43,91%,4,9%,0,0%
"静岡県",50,0,0.140,42,84%,8,16%,0,0%
"三重県",35,3,0.200,23,66%,11,31%,1,3%
"滋賀県",70,2,0.500,59,84%,10,14%,1,1%
"奈良県",60,4,0.450,47,78%,12,20%,1,2%
"和歌山県",40,1,0.430,20,50%,19,48%,1,3%
"鳥取県",3,2,0.050,3,100%,0,0%,0,0%
"島根県",15,0,0.220,15,100%,0,0%,0,0%
"岡山県",18,0,0.100,15,83%,3,17%,0,0%
"広島県",129,5,0.460,118,91%,11,9%,0,0%
"山口県",30,0,0.220,25,83%,5,17%,0,0%
"徳島県",3,0,0.040,0,0%,3,100%,0,0%
"香川県",24,0,0.250,23,96%,1,4%,0,0%
"愛媛県",44,3,0.330,36,82%,5,11%,3,7%
"高知県",64,1,0.920,45,70%,18,28%,1,2%
"佐賀県",16,0,0.200,15,94%,1,6%,0,0%
"長崎県",17,0,0.130,15,88%,2,12%,0,0%
"熊本県",35,0,0.200,28,80%,6,17%,1,3%
"大分県",54,0,0.480,36,67%,17,31%,1,2%
"宮崎県",17,0,0.160,13,76%,4,24%,0,0%
"鹿児島県",7,1,0.040,6,86%,1,14%,0,0%
"沖縄県",101,0,0.700,94,93%,6,6%,1,1%
"",,,,,,,,,
"総計",10219,556,0.810,8916,87%,1142,11%,161,2%
