"",4月11日(土),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",345,20,0.471,315,91%,25,7%,5,1%
"千葉県",411,36,0.657,369,90%,38,9%,4,1%
"東京都",1914,197,1.385,1838,96%,57,3%,19,1%
"神奈川県",465,40,0.507,415,89%,44,9%,6,1%
"大阪府",767,70,0.870,640,83%,121,16%,6,1%
"兵庫県",358,42,0.653,286,80%,59,16%,13,4%
"福岡県",332,※108,0.650,325,98%,7,2%,0,0%
"北海道",255,16,0.482,86,34%,158,62%,11,4%
"青森県",22,8,0.174,19,86%,3,14%,0,0%
"岩手県",0,0,0.000,0,ー,0,ー,0,ー
"宮城県",46,9,0.199,45,98%,1,2%,0,0%
"秋田県",13,1,0.133,8,62%,5,38%,0,0%
"山形県",32,5,0.294,32,100%,0,0%,0,0%
"福島県",37,1,0.198,34,92%,3,8%,0,0%
"茨城県",91,9,0.316,80,88%,8,9%,3,3%
"栃木県",32,1,0.164,27,84%,5,16%,0,0%
"群馬県",79,44,0.405,72,91%,5,6%,2,3%
"新潟県",41,0,0.183,17,41%,24,59%,0,0%
"富山県",23,0,0.219,23,100%,0,0%,0,0%
"石川県",104,12,0.910,99,95%,5,5%,0,0%
"福井県",86,10,1.111,78,91%,6,7%,2,2%
"山梨県",32,5,0.392,30,94%,2,6%,0,0%
"長野県",28,0,0.136,25,89%,3,11%,0,0%
"岐阜県",91,9,0.456,85,93%,5,5%,1,1%
"静岡県",39,5,0.107,36,92%,3,8%,0,0%
"愛知県",340,27,0.451,255,75%,63,19%,22,6%
"三重県",17,2,0.095,12,71%,5,29%,0,0%
"滋賀県",38,4,0.269,35,92%,3,8%,0,0%
"京都府",181,13,0.699,147,81%,33,18%,1,1%
"奈良県",39,2,0.291,31,79%,8,21%,0,0%
"和歌山県",33,0,0.353,15,45%,17,52%,1,3%
"鳥取県",1,0,0.018,1,100%,0,0%,0,0%
"島根県",6,4,0.088,6,100%,0,0%,0,0%
"岡山県",16,0,0.084,15,94%,1,6%,0,0%
"広島県",31,6,0.110,28,90%,3,10%,0,0%
"山口県",19,2,0.139,16,84%,3,16%,0,0%
"徳島県",3,0,0.041,0,0%,3,100%,0,0%
"香川県",4,0,0.042,3,75%,1,25%,0,0%
"愛媛県",30,2,0.222,25,83%,4,13%,1,3%
"高知県",54,2,0.765,41,76%,13,24%,0,0%
"佐賀県",12,0,0.147,11,92%,1,8%,0,0%
"長崎県",14,0,0.104,12,86%,2,14%,0,0%
"熊本県",23,0,0.131,18,78%,4,17%,1,4%
"大分県",42,0,0.367,32,76%,10,24%,0,0%
"宮崎県",17,1,0.157,14,82%,3,18%,0,0%
"鹿児島県",4,1,0.025,4,100%,0,0%,0,0%
"沖縄県",49,0,0.338,46,94%,3,6%,0,0%
"",,,,,,,,,
"総計",6616,606,0.523,5751,87%,767,12%,98,1%
