"",4月16日(木),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",535,42,0.730,494,92%,32,6%,9,2%
"千葉県",539,14,0.862,482,89%,51,9%,6,1%
"東京都",2606,149,1.885,2528,97%,59,2%,19,1%
"神奈川県",673,53,0.733,602,89%,55,8%,16,2%
"大阪府",1021,52,1.159,838,82%,175,17%,8,1%
"兵庫県",453,30,0.826,373,82%,63,14%,17,4%
"福岡県",459,26,0.899,401,87%,52,11%,6,1%
"",,,,,,,,,
"北海道",336,23,0.636,159,47%,163,49%,14,4%
"茨城県",123,4,0.428,108,88%,10,8%,5,4%
"石川県",146,6,1.277,137,94%,5,3%,4,3%
"岐阜県",132,2,0.661,115,87%,16,12%,1,1%
"愛知県",364,14,0.483,274,75%,66,18%,24,7%
"京都府",225,10,0.868,183,81%,39,17%,3,1%
"",,,,,,,,,
"青森県",22,0,0.174,17,77%,5,23%,0,0%
"岩手県",0,0,0.000,0,ー,0,ー,0,ー
"宮城県",75,10,0.324,67,89%,8,11%,0,0%
"秋田県",16,0,0.163,11,69%,5,31%,0,0%
"山形県",50,5,0.459,50,100%,0,0%,0,0%
"福島県",49,9,0.263,46,94%,3,6%,0,0%
"栃木県",42,2,0.216,34,81%,8,19%,0,0%
"群馬県",109,2,0.558,100,92%,5,5%,4,4%
"新潟県",47,1,0.209,18,38%,29,62%,0,0%
"富山県",65,11,0.619,63,97%,2,3%,0,0%
"福井県",103,3,1.331,93,90%,8,8%,2,2%
"山梨県",43,3,0.526,34,79%,9,21%,0,0%
"長野県",45,6,0.218,41,91%,4,9%,0,0%
"静岡県",48,1,0.131,43,90%,5,10%,0,0%
"三重県",26,6,0.145,14,54%,11,42%,1,4%
"滋賀県",57,5,0.404,48,84%,8,14%,1,2%
"奈良県",54,1,0.403,44,81%,9,17%,1,2%
"和歌山県",38,1,0.406,18,47%,19,50%,1,3%
"鳥取県",1,0,0.018,1,100%,0,0%,0,0%
"島根県",14,1,0.206,14,100%,0,0%,0,0%
"岡山県",18,2,0.095,17,94%,1,6%,0,0%
"広島県",118,5,0.419,115,97%,3,3%,0,0%
"山口県",29,1,0.212,24,83%,5,17%,0,0%
"徳島県",3,0,0.041,0,0%,3,100%,0,0%
"香川県",21,1,0.218,20,95%,1,5%,0,0%
"愛媛県",41,1,0.303,35,85%,4,10%,2,5%
"高知県",62,0,0.878,43,69%,18,29%,1,2%
"佐賀県",15,0,0.183,14,93%,1,7%,0,0%
"長崎県",16,1,0.119,14,88%,2,13%,0,0%
"熊本県",31,0,0.176,25,81%,5,16%,1,3%
"大分県",50,0,0.437,32,64%,17,34%,1,2%
"宮崎県",17,0,0.157,13,76%,4,24%,0,0%
"鹿児島県",4,0,0.025,3,75%,1,25%,0,0%
"沖縄県",86,0,0.594,79,92%,6,7%,1,1%
"",,,,,,,,,
"総計",9027,503,0.714,7884,87%,995,11%,148,2%
