"",4月6日(月),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",1123,83,0.812,1049,93%,58,5%,16,1%
"大阪府",429,20,0.487,343,80%,83,19%,3,1%
"神奈川県",261,35,0.284,223,85%,32,12%,6,2%
"千葉県",253,15,0.404,220,87%,32,13%,1,0%
"愛知県",237,10,0.314,164,69%,52,22%,21,9%
"兵庫県",201,6,0.367,136,68%,53,26%,12,6%
"埼玉県",195,21,0.266,168,86%,23,12%,4,2%
"北海道",194,0,0.367,44,23%,141,73%,9,5%
"京都府",119,8,0.459,101,85%,18,15%,0,0%
"福岡県",113,4,0.221,107,95%,6,5%,0,0%
"茨城県",71,7,0.247,68,96%,1,1%,2,3%
"福井県",57,6,0.736,54,95%,1,2%,2,4%
"岐阜県",51,1,0.255,48,94%,2,4%,1,2%
"石川県",45,2,0.394,40,89%,5,11%,0,0%
"高知県",34,3,0.482,22,65%,12,35%,0,0%
"大分県",32,1,0.280,24,75%,8,25%,0,0%
"新潟県",32,0,0.142,21,66%,11,34%,0,0%
"和歌山県",27,2,0.289,11,41%,15,56%,1,4%
"宮城県",26,3,0.112,25,96%,1,4%,0,0%
"奈良県",26,1,0.194,18,69%,8,31%,0,0%
"群馬県",26,0,0.133,24,92%,1,4%,1,4%
"熊本県",20,0,0.114,17,85%,3,15%,0,0%
"滋賀県",18,0,0.127,15,83%,3,17%,0,0%
"広島県",16,0,0.057,15,94%,1,6%,0,0%
"福島県",16,0,0.086,15,94%,1,6%,0,0%
"沖縄県",15,6,0.104,13,87%,2,13%,0,0%
"長野県",14,2,0.068,10,71%,4,29%,0,0%
"愛媛県",14,2,0.104,9,64%,4,29%,1,7%
"山梨県",14,1,0.171,12,86%,2,14%,0,0%
"栃木県",14,0,0.072,11,79%,3,21%,0,0%
"山形県",13,3,0.119,13,100%,0,0%,0,0%
"三重県",13,0,0.073,9,69%,4,31%,0,0%
"山口県",12,4,0.088,9,75%,3,25%,0,0%
"富山県",11,1,0.105,11,100%,0,0%,0,0%
"秋田県",11,0,0.112,9,82%,2,18%,0,0%
"青森県",11,0,0.087,11,100%,0,0%,0,0%
"岡山県",11,0,0.058,11,100%,0,0%,0,0%
"静岡県",10,0,0.027,7,70%,3,30%,0,0%
"長崎県",9,0,0.067,7,78%,2,22%,0,0%
"佐賀県",8,0,0.098,7,88%,1,13%,0,0%
"宮崎県",7,1,0.065,4,57%,3,43%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"香川県",2,0,0.021,2,100%,0,0%,0,0%
"総計",3817,248,0.302,3132,82%,605,16%,80,2%
