"",4月8日(水),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",1347,144,0.975,1272,94%,57,4%,18,1%
"大阪府",525,43,0.596,403,77%,116,22%,6,1%
"神奈川県",327,48,0.356,284,87%,37,11%,6,2%
"千葉県",317,33,0.507,284,90%,32,10%,1,0%
"愛知県",278,20,0.369,205,74%,52,19%,21,8%
"埼玉県",242,33,0.330,215,89%,23,10%,4,2%
"兵庫県",216,0,0.394,151,70%,53,25%,12,6%
"北海道",208,10,0.393,53,25%,146,70%,9,4%
"福岡県",161,25,0.315,154,96%,7,4%,0,0%
"京都府",149,10,0.575,126,85%,23,15%,0,0%
"茨城県",77,0,0.268,71,92%,4,5%,2,3%
"岐阜県",69,18,0.346,65,94%,3,4%,1,1%
"福井県",67,10,0.866,64,96%,1,1%,2,3%
"石川県",66,15,0.577,61,92%,5,8%,0,0%
"大分県",41,9,0.358,33,80%,8,20%,0,0%
"新潟県",37,3,0.165,19,51%,18,49%,0,0%
"高知県",37,1,0.524,25,68%,12,32%,0,0%
"宮城県",34,7,0.147,33,97%,1,3%,0,0%
"沖縄県",32,5,0.221,29,91%,3,9%,0,0%
"奈良県",30,2,0.224,22,73%,8,27%,0,0%
"福島県",29,5,0.156,28,97%,1,3%,0,0%
"和歌山県",29,1,0.310,13,45%,15,52%,1,3%
"群馬県",29,0,0.149,26,90%,2,7%,1,3%
"愛媛県",25,2,0.185,20,80%,4,16%,1,4%
"滋賀県",24,6,0.170,21,88%,3,13%,0,0%
"広島県",23,4,0.082,22,96%,1,4%,0,0%
"熊本県",23,2,0.131,20,87%,3,13%,0,0%
"山梨県",22,3,0.269,20,91%,2,9%,0,0%
"山形県",22,3,0.202,22,100%,0,0%,0,0%
"栃木県",21,6,0.108,16,76%,5,24%,0,0%
"長野県",19,5,0.092,16,84%,3,16%,0,0%
"山口県",17,4,0.124,14,82%,3,18%,0,0%
"静岡県",15,5,0.041,12,80%,3,20%,0,0%
"岡山県",15,3,0.079,15,100%,0,0%,0,0%
"富山県",14,2,0.133,14,100%,0,0%,0,0%
"三重県",13,0,0.073,8,62%,5,38%,0,0%
"宮崎県",12,5,0.111,9,75%,3,25%,0,0%
"長崎県",12,3,0.089,10,83%,2,17%,0,0%
"青森県",12,1,0.095,12,100%,0,0%,0,0%
"佐賀県",11,2,0.134,10,91%,1,9%,0,0%
"秋田県",11,0,0.112,9,82%,2,18%,0,0%
"香川県",3,1,0.031,3,100%,0,0%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"総計",4667,499,0.369,3914,84%,668,14%,85,2%
