"",PCR検査陽性者,対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",690,97,0.499,635,92%,48,7%,7,1%
"大阪府",312,33,0.354,239,77%,71,23%,2,1%
"愛知県",186,5,0.247,120,65%,47,25%,19,10%
"北海道",185,3,0.350,46,25%,131,71%,8,4%
"千葉県",181,6,0.289,154,85%,26,14%,1,1%
"兵庫県",167,6,0.305,138,83%,18,11%,11,7%
"神奈川県",153,15,0.167,119,78%,28,18%,6,4%
"埼玉県",113,12,0.154,88,78%,21,19%,4,4%
"京都府",79,8,0.305,61,77%,18,23%,0,0%
"福岡県",62,10,0.121,57,92%,5,8%,0,0%
"福井県",31,9,0.401,30,97%,0,0%,1,3%
"新潟県",31,0,0.138,21,68%,10,32%,0,0%
"大分県",30,1,0.262,29,97%,1,3%,0,0%
"茨城県",26,2,0.090,24,92%,0,0%,2,8%
"岐阜県",22,0,0.110,20,91%,2,9%,0,0%
"高知県",21,1,0.297,9,43%,12,57%,0,0%
"和歌山県",20,2,0.214,5,25%,14,70%,1,5%
"群馬県",20,0,0.102,19,95%,0,0%,1,5%
"奈良県",19,4,0.142,11,58%,8,42%,0,0%
"石川県",16,1,0.140,11,69%,5,31%,0,0%
"熊本県",15,0,0.085,12,80%,3,20%,0,0%
"栃木県",14,0,0.072,12,86%,2,14%,0,0%
"宮城県",12,5,0.052,11,92%,1,8%,0,0%
"三重県",12,1,0.067,10,83%,2,17%,0,0%
"愛媛県",11,2,0.081,9,82%,2,18%,0,0%
"山梨県",9,1,0.110,7,78%,2,22%,0,0%
"青森県",9,1,0.071,9,100%,0,0%,0,0%
"沖縄県",9,0,0.062,7,78%,2,22%,0,0%
"長野県",9,0,0.044,6,67%,3,33%,0,0%
"富山県",8,3,0.076,8,100%,0,0%,0,0%
"福島県",8,2,0.043,7,88%,1,13%,0,0%
"滋賀県",8,0,0.057,5,63%,3,38%,0,0%
"岡山県",7,3,0.037,7,100%,0,0%,0,0%
"秋田県",7,1,0.071,5,71%,2,29%,0,0%
"静岡県",6,0,0.016,3,50%,3,50%,0,0%
"山口県",6,0,0.044,3,50%,3,50%,0,0%
"広島県",6,0,0.021,5,83%,1,17%,0,0%
"長崎県",5,0,0.037,4,80%,1,20%,0,0%
"佐賀県",4,0,0.049,4,100%,0,0%,0,0%
"鹿児島県",3,1,0.019,3,100%,0,0%,0,0%
"宮崎県",3,0,0.028,2,67%,1,33%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"香川県",2,0,0.021,2,100%,0,0%,0,0%
"山形県",1,0,0.009,1,100%,0,0%,0,0%
"総計",2541,235,0.201,1980,78%,498,20%,63,2%
