"",4月4日(土),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"東京都",897,118,0.649,837,93%,48,5%,12,1%
"大阪府",388,41,0.440,306,79%,80,21%,2,1%
"千葉県",219,27,0.350,187,85%,31,14%,1,0%
"愛知県",216,18,0.287,149,69%,48,22%,19,9%
"神奈川県",197,16,0.215,159,81%,32,16%,6,3%
"北海道",193,3,0.365,55,28%,130,67%,8,4%
"兵庫県",182,10,0.332,119,65%,52,29%,11,6%
"埼玉県",153,22,0.209,126,82%,23,15%,4,3%
"京都府",105,14,0.405,87,83%,18,17%,0,0%
"福岡県",67,1,0.131,62,93%,5,7%,0,0%
"茨城県",59,5,0.205,56,95%,1,2%,2,3%
"福井県",44,4,0.568,43,98%,0,0%,1,2%
"岐阜県",43,4,0.215,40,93%,2,5%,1,2%
"石川県",32,8,0.280,27,84%,5,16%,0,0%
"新潟県",32,0,0.142,21,66%,11,34%,0,0%
"大分県",31,0,0.271,25,81%,6,19%,0,0%
"群馬県",25,1,0.128,23,92%,1,4%,1,4%
"高知県",24,3,0.340,12,50%,12,50%,0,0%
"奈良県",24,3,0.179,16,67%,8,33%,0,0%
"和歌山県",21,0,0.225,5,24%,15,71%,1,5%
"宮城県",20,7,0.086,19,95%,1,5%,0,0%
"滋賀県",17,3,0.120,14,82%,3,18%,0,0%
"熊本県",16,1,0.091,13,81%,3,19%,0,0%
"福島県",14,5,0.075,13,93%,1,7%,0,0%
"栃木県",14,0,0.072,11,79%,3,21%,0,0%
"広島県",13,5,0.046,12,92%,1,8%,0,0%
"愛媛県",12,1,0.089,8,67%,3,25%,1,8%
"三重県",12,0,0.067,8,67%,4,33%,0,0%
"山梨県",11,2,0.135,9,82%,2,18%,0,0%
"長野県",11,1,0.053,7,64%,4,36%,0,0%
"青森県",11,0,0.087,11,100%,0,0%,0,0%
"静岡県",10,2,0.027,7,70%,3,30%,0,0%
"富山県",10,2,0.095,10,100%,0,0%,0,0%
"秋田県",10,1,0.102,8,80%,2,20%,0,0%
"岡山県",10,1,0.053,10,100%,0,0%,0,0%
"沖縄県",9,0,0.062,7,78%,2,22%,0,0%
"長崎県",8,1,0.060,6,75%,2,25%,0,0%
"山口県",7,0,0.051,4,57%,3,43%,0,0%
"山形県",6,5,0.055,6,100%,0,0%,0,0%
"佐賀県",6,1,0.073,6,100%,0,0%,0,0%
"宮崎県",4,0,0.037,2,50%,2,50%,0,0%
"徳島県",3,0,0.041,2,67%,1,33%,0,0%
"鹿児島県",3,0,0.019,3,100%,0,0%,0,0%
"香川県",2,0,0.021,2,100%,0,0%,0,0%
"総計",3191,336,0.252,2553,80%,568,18%,70,2%
""
