"",4月2日(日),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",386,41,0.527,355,92%,26,7%,5,1%
"千葉県",455,44,0.727,412,91%,39,9%,4,1%
"東京都",2080,166,1.505,2004,96%,57,3%,19,1%
"神奈川県",478,13,0.521,427,89%,44,9%,7,1%
"大阪府",812,45,0.921,679,84%,127,16%,6,1%
"兵庫県",375,17,0.684,303,81%,59,16%,13,3%
"福岡県",362,30,0.709,355,98%,7,2%,0,0%
"",,,,,,,,,
"北海道",267,12,0.505,98,37%,158,59%,11,4%
"青森県",22,0,0.174,19,86%,3,14%,0,0%
"岩手県",0,0,0.000,0,ー,0,ー,0,ー
"宮城県",52,6,0.225,50,96%,2,4%,0,0%
"秋田県",15,2,0.153,10,67%,5,33%,0,0%
"山形県",34,2,0.312,34,100%,0,0%,0,0%
"福島県",38,1,0.204,35,92%,3,8%,0,0%
"茨城県",109,18,0.379,97,89%,9,8%,3,3%
"栃木県",35,3,0.180,30,86%,5,14%,0,0%
"群馬県",90,11,0.461,83,92%,5,6%,2,2%
"新潟県",42,1,0.187,18,43%,24,57%,0,0%
"富山県",30,7,0.286,30,100%,0,0%,0,0%
"石川県",113,9,0.989,108,96%,5,4%,0,0%
"福井県",88,2,1.137,80,91%,6,7%,2,2%
"山梨県",35,3,0.428,33,94%,2,6%,0,0%
"長野県",29,1,0.141,26,90%,3,10%,0,0%
"岐阜県",105,14,0.526,99,94%,5,5%,1,1%
"静岡県",41,2,0.112,38,93%,3,7%,0,0%
"愛知県",319,2,0.423,234,73%,63,20%,22,7%
"三重県",17,0,0.095,8,47%,9,53%,0,0%
"滋賀県",38,0,0.269,35,92%,3,8%,0,0%
"京都府",193,12,0.745,157,81%,33,18%,3,2%
"奈良県",41,2,0.306,33,80%,8,20%,0,0%
"和歌山県",34,1,0.364,16,47%,17,50%,1,3%
"鳥取県",1,0,0.018,1,100%,0,0%,0,0%
"島根県",7,1,0.103,7,100%,0,0%,0,0%
"岡山県",16,0,0.084,15,94%,1,6%,0,0%
"広島県",56,25,0.199,53,95%,3,5%,0,0%
"山口県",23,4,0.168,20,87%,3,13%,0,0%
"徳島県",3,0,0.041,0,0%,3,100%,0,0%
"香川県",8,4,0.083,7,88%,1,13%,0,0%
"愛媛県",30,0,0.222,24,80%,4,13%,2,7%
"高知県",60,6,0.850,46,77%,14,23%,0,0%
"佐賀県",13,1,0.159,12,92%,1,8%,0,0%
"長崎県",14,0,0.104,12,86%,2,14%,0,0%
"熊本県",28,5,0.159,23,82%,4,14%,1,4%
"大分県",42,0,0.367,32,76%,10,24%,0,0%
"宮崎県",17,0,0.157,14,82%,3,18%,0,0%
"鹿児島県",4,0,0.025,4,100%,0,0%,0,0%
"沖縄県",66,17,0.456,63,95%,3,5%,0,0%
"",,,,,,,,,
"総計",7123,530,0.563,6239,88%,782,11%,102,1%
