"",4月21日(火),対前日比,人口一万人当たり,うち現在は入院等,うち退院,うち死亡,,,
"埼玉県",681,10,0.930,639,94%,32,5%,10,1%
"千葉県",704,21,1.120,613,87%,80,11%,11,2%
"東京都",3320,123,2.380,3242,98%,59,2%,19,1%
"神奈川県",816,14,0.890,706,87%,91,11%,19,2%
"大阪府",1351,54,1.530,1083,80%,253,19%,15,1%
"兵庫県",546,19,1.000,464,85%,65,12%,17,3%
"福岡県",539,21,1.060,439,81%,87,16%,13,2%
"",,0,,,,,,,
"北海道",473,22,0.900,273,58%,179,38%,21,4%
"茨城県",146,3,0.510,123,84%,17,12%,6,4%
"石川県",190,10,1.670,168,88%,17,9%,5,3%
"岐阜県",140,1,0.700,111,79%,24,17%,5,4%
"愛知県",422,16,0.560,329,78%,66,16%,27,6%
"京都府",264,5,1.020,172,65%,86,33%,6,2%
"",0,,,,,,,,
"青森県",22,0,0.180,12,55%,10,45%,0,0%
"岩手県",0,0,0.000,0,-,0,-,0,-
"宮城県",84,0,0.360,70,83%,14,17%,0,0%
"秋田県",16,0,0.170,11,69%,5,31%,0,0%
"山形県",64,0,0.590,47,73%,17,27%,0,0%
"福島県",64,0,0.350,49,77%,15,23%,0,0%
"栃木県",51,2,0.260,43,84%,8,16%,0,0%
"群馬県",131,7,0.670,108,82%,14,11%,9,7%
"新潟県",58,2,0.260,26,45%,32,55%,0,0%
"富山県",115,1,1.100,105,91%,8,7%,2,2%
"福井県",118,5,1.540,88,75%,26,22%,4,3%
"山梨県",50,1,0.620,41,82%,9,18%,0,0%
"長野県",54,2,0.260,48,89%,6,11%,0,0%
"静岡県",53,1,0.150,41,77%,12,23%,0,0%
"三重県",41,2,0.230,29,71%,11,27%,1,2%
"滋賀県",76,4,0.540,62,82%,13,17%,1,1%
"奈良県",73,9,0.550,58,79%,14,19%,1,1%
"和歌山県",47,1,0.510,24,51%,22,47%,1,2%
"鳥取県",3,0,0.050,3,100%,0,0%,0,0%
"島根県",16,0,0.240,16,100%,0,0%,0,0%
"岡山県",19,0,0.100,15,79%,4,21%,0,0%
"広島県",138,1,0.490,126,91%,12,9%,0,0%
"山口県",31,1,0.230,16,52%,15,48%,0,0%
"徳島県",5,1,0.070,2,40%,3,60%,0,0%
"香川県",26,0,0.270,25,96%,1,4%,0,0%
"愛媛県",47,1,0.350,35,74%,9,19%,3,6%
"高知県",69,0,0.990,45,65%,22,32%,2,3%
"佐賀県",17,0,0.210,16,94%,1,6%,0,0%
"長崎県",17,0,0.130,12,71%,5,29%,0,0%
"熊本県",41,1,0.230,33,80%,7,17%,1,2%
"大分県",60,5,0.530,40,67%,19,32%,1,2%
"宮崎県",17,0,0.160,13,76%,4,24%,0,0%
"鹿児島県",10,0,0.060,8,80%,2,20%,0,0%
"沖縄県",125,4,0.860,111,89%,11,9%,3,2%
"",,,,,,,,,
"総計",11350,370,0.900,9740,86%,1407,12%,203,2%
